"Title","Href","Challenge","Solution","Outcome","Benefits","Institution"
"Automation Adoption for SMEs: CBE+","https://www.the-mtc.org/case-studies/automation-adoption-for-smes-cbe/","The primary challenges that cbe+ was looking to address were in relation to the volume of parts being processed.  The business wanted a robotic system to help with loading and unloading nickel plating lines, as large orders from customers in new sectors have driven the need to explore new ways of working.  The current task of loading and unloading parts is repetitive and not the best use of employees’ time, with some colleagues picking parts from a box and placing them on a rack for entire shifts.  It is also physically demanding, with a lot of physical movement required to load the rack.  An automated system was needed to improve efficiencies of the task, reduce the manual labour required, further increase health and safety standards and better maximise the skillset of cbe+ staff. ","None","This project has seen the mtc help with initial research in demystifying the options available and building the business case. The mtc has worked to collate the requirements for the new system and approached a number of robot integrators and machine builders who can offer a solution to meet the requirements of cbe+.  After receiving quotes from these suppliers, the mtc aided in understanding the options and selecting the right solution for cbe+. Based on the success of the project, cbe+ envisages a longer-term partnership working with the mtc to introduce automation into other sectors of its factory. ","None","MTC"
"Optimising Assembly Processes Through In-situ Measurement","https://www.the-mtc.org/case-studies/optimising-assembly-processes-through-in-situ-measurement/","Assembly of a critical bolted joint within a rolls-royce engine is currently reliable, but there were opportunities to improve and optimise the design for the fitter. Future product designs are likely to require ever increasing clamping load capability, driving the requirement for improved and more efficient methods. The bolted joint is located within a restricted and difficult-to-access geometry, severely limiting the options for in-situ measurement. Assembly of a critical bolted joint within a rolls-royce engine is currently reliable, but there were opportunities to improve and optimise the design for the fitterfuture product designs are likely to require ever increasing clamping load capability, driving the requirement for improved and more efficient methodsthe bolted joint is located within a restricted and difficult-to-access geometry, severely limiting the options for in-situ measurementdifficult-to-access geometry, severely limiting the options for in-situ measurement","None","Creation of a bolt design ensuring correct ultrasonic functionality. Development of a functional tooling prototype that enables ultrasonic measurement of bolt clampingload to within +/- 5kn. Creation of representative ‘engine core’ test hardware that enables a full simulation of the bolted jointassembly process. Test bench’ hardware that enables single-bolt testing for ongoing calibration. Ongoing support to determine specific material and geometry factors for development engine bolt designs. Creation of a bolt design ensuring correct ultrasonic functionalitydevelopment of a functional tooling prototype that enables ultrasonic measurement of bolt clampingload to within +/- 5kncreation of representative ‘engine core’ test hardware that enables a full simulation of the bolted jointassembly processtest bench’ hardware that enables single-bolt testing for ongoing calibrationongoing support to determine specific material and geometry factors for development engine bolt designs","Significant improvement in accuracy of assembly clamping load measurement, enabling significant reduction in reserve factors. Implementation of a measurement system that directly displays bolt clamping load during operation; and enables straightforward data collection for improved traceability. Implementation within existing tooling means minimal impact to current assembly process. Provision of test hardware to enable demonstration of process, operator training, and future testing usingnew bolt materials. Provision of measurement data and corresponding statistical analysis in order to support faster technology development/deployment. Functional tooling prototype that has been successfully used in assembly of engine demonstrator. Significant improvement in accuracy of assembly clamping load measurement, enabling significant reduction in reserve factorsimplementation of a measurement system that directly displays bolt clamping load during operation; and enables straightforward data collection for improved traceabilityimplementation within existing tooling means minimal impact to current assembly processprovision of test hardware to enable demonstration of process, operator training, and future testing usingnew bolt materialsprovision of measurement data and corresponding statistical analysis in order to support faster technology development/deploymentstatistical analysis in order to support faster technology development/deploymentfunctional tooling prototype that has been successfully used in assembly of engine demonstratorsuccessfully used in assembly of engine demonstrator","MTC"
"Footbridges - Modular Design Using a Configurator Application","https://www.the-mtc.org/case-studies/footbridges-modular-design-using-a-configurator-application/","All footbridges are bespoke yet share the same design foundations.  Repeatedly completing the same design process is inefficient and costly and leads to inconsistencies in the design and inefficiencies in manufacturing and installation. Using mmc (modern methods of construction), such as modularisation and standardisation, optimises the lifecycle processes from design through to installation, enabling right first time and yielding significant savings in time and cost.  The challenge was to develop an application to design and configure a modular footbridge that can automatically adapt to the layout of a rail station while maintaining the design principles of modularisation and standardisation. ","The mtc conducted a series of workshops and interviews to gather product knowledge, rules, and requirements for the design of a rail station footbridge. An application workflow detailing the steps and the inputs and outputs at each stage was developed.  The application was developed using the workflow template and the requirements acquired from the workshops was codified and embedded into the application. A user interface was developed to allow the user to design custom footbridges configurations or generate a footbridge configuration automatically based on a station layout input. ","Automatic generation of bespoke footbridge configurations based on the environment/station layout are driven by the design rules. Modularisation of the footbridge design and standardisation of the modules of the footbridge. Automatic visualisation and reporting of footbridge metrics allowing direct comparisons with alternative designs. ","Automation of the repetitive and iterative design processes involved in designing a footbridge allowing designers to focus their efforts on the more creative and interesting aspects of footbridge design e. G.  Cladding. Consolidation of the knowledge, rules, and requirements to design a footbridge. Significant increase in design output consistency and quality; a station layout paired with the same rule set will output the same design repeatably. ","MTC"
"The MTC Algorithm Development Support Service","https://www.the-mtc.org/case-studies/the-mtc-algorithm-development-support-service/","Within many industries, such as aerospace, it is important that long-term support is available for ndt services and equipment.  This makes it challenging to introduce novel technology with a sole supplier, often delaying technology adoption until it is available from multiple suppliers. This presents a barrier to suppliers looking to bring technology from universities into industry as, without exclusivity for new software or capabilities, it can be difficult to ensure the costs of development and integration are recovered. Therefore, a low cost integration route that allows multiple suppliers to rapidly transition new technology into their products is highly desirable. ","None","For the pilot scheme, a complete set of software engineering documents, split into different functional stages, has been produced and provided to multiple equipment manufacturers and supply-chain partners under license. The document set includes both software development stages and testing methods with associated test files to ensure functionality is correctly implemented during development.  A testing example from the adss documentation is shown in the below image. In addition, the mtc offers an independent testing service to end-users and supply-chain companies to verify a particular implementation of the algorithms against reference datasets to increase end-user confidence. For the pilot scheme, a complete set of software engineering documents, split into different functional stages, has been produced and provided to multiple equipment manufacturers and supply-chain partners under license. The document set includes both software development stages and testing methods with associated test files to ensure functionality is correctly implemented during development.  A testing example from the adss documentation is shown in the below image. In addition, the mtc offers an independent testing service to end-users and supply-chain companies to verify a particular implementation of the algorithms against reference datasets to increase end-user confidence. ","Adss allows multiple suppliers to add the algorithms to their own unique software platforms, based on the same core software-engineering documentation, significantly reducing development costs and time. Adss supports testing throughout development as well as a validation service for finalised software platforms to ensure correct implementation and consistency between suppliers. The 3d ultrasonics for composite inspection adss software-engineering documentation set is now available under license from the mtc. The pilot programme has demonstrated an optimised route for transitioning algorithms from academia into industry. Adss allows multiple suppliers to add the algorithms to their own unique software platforms, based on the same core software-engineering documentation, significantly reducing development costs and time. Adss supports testing throughout development as well as a validation service for finalised software platforms to ensure correct implementation and consistency between suppliers. The 3d ultrasonics for composite inspection adss software-engineering documentation set is now available under license from the mtc. The pilot programme has demonstrated an optimised route for transitioning algorithms from academia into industry. ","MTC"
"Laser Welding In Vacuum - Process Development","https://www.the-mtc.org/case-studies/laser-welding-in-vacuum-process-development/","Laser beam welding (lbw) has been widely adopted across most industrial sectors.  The advantages include ease of automation, small heat affected zone, high efficiency, high welding speed (productivity) and good flexibility.  However, thicker section high value or critical components of jet engines, transmission components, superconductive material components are often electron beam (eb) welded as they benefit from deep penetration high aspect ratio welds.  Aerospace component weldments in titanium and nickel based alloys also benefit from zero oxygen pick up and consequent weld embrittlement. ","None","Welding trials using the developed system have shown:. High penetration depth (increase up to 50%) similar to eb welding. High penetration depth (increase up to 50%) similar to eb welding. High integrity welds free from oxidation, internal defects, spatter with little or no porosity. High integrity welds free from oxidation, internal defects, spatter with little or no porosity. Wider weld beads (than standard laser) through optimisation of wobble head. Wider weld beads (than standard laser) through optimisation of wobble head","Access to a capability with the potential for significant cost and time savings when compared to eb welding. Access to a capability with the potential for significant cost and time savings when compared to eb welding. Expanding the use of laser welding for sectors and new applications. Expanding the use of laser welding for sectors and new applications. Ability to tackle some of the limitations of the more established welding solutions (e. G.  Eb welding) whilst realising all the advantages (e. G.  Flexibility of fibre delivery) associated with laser welding. Ability to tackle some of the limitations of the more established welding solutions (e. G.  Eb welding) whilst realising all the advantages (e. G.  Flexibility of fibre delivery) associated with laser welding. Not susceptible to deflection by residual magnetism that invariably exists in eb welding of thicker steel sections. Not susceptible to deflection by residual magnetism that invariably exists in eb welding of thicker steel sections. ","MTC"
"RecHycle - Embodied Carbon Analysis","https://www.the-mtc.org/case-studies/rechycle-embodied-carbon-analysis/","The mtc identified polymer electrolyte membrane (pem) electrolysers as an opportunity to make the hydrogen production process more sustainable and cost-effective.  However, the current production of bipolar plates and porous membranes for electrolyser stacks from titanium is highly energy and resource intensive. A method was required to assess the reduced environmental impact of several novel manufacturing routes in comparison to the current supply chain of titanium electrolyser stack components. ","The current conventional use cycle of the titanium in an electrolyser stack was investigated and split into use cycle stages. An embodied carbon analysis method was developed to calculate the embodied carbon of the titanium in a single electrolyser stack for a single use cycle. 18 manufacturing scenarios were compared, with the model outputting both the total embodied carbon, and the embodied carbon associated with each use cycle stage to identify key emission drivers. The current conventional use cycle of the titanium in an electrolyser stack was investigated and split into use cycle stages. An embodied carbon analysis method was developed to calculate the embodied carbon of the titanium in a single electrolyser stack for a single use cycle. 18 manufacturing scenarios were compared, with the model outputting both the total embodied carbon, and the embodied carbon associated with each use cycle stage to identify key emission drivers. Model outputting both the total embodied carbon, and the embodied carbon associated with each use cycle stage to identify key emission drivers. ","The embodied carbon analysis enabled calculation of the total embodied carbon dioxide equivalent (co2e)for all scenarios against the current baseline scenario. From this, the following key conclusions were drawn:- recycling titanium machining swarf within the current manufacturing route, as is commonly done at present with an average recovery rate of 40%, results in reducing the embodied carbonby 12500kgco2e per electrolyser stack. - the use of titanium sponge drop out waste as feedstock for spark plasma sintering (sps), demonstrated by the mtc’s rechycle project, achieves a significant reduction of 21800kgco2eper stack. - the route resulting in the least embodied carbon was through the remanufacturing of end of life parts as feedstock into net shaping by sps with salt spacers produced by uniaxial pressing. The embodied carbon analysis enabled calculation of the total embodied carbon dioxide equivalent (co2e)for all scenarios against the current baseline scenariofrom this, the following key conclusions were drawn:- recycling titanium machining swarf within the current manufacturing route, as is commonly done at present with an average recovery rate of 40%, results in reducing the embodied carbonby 12500kgco2e per electrolyser stack. - the use of titanium sponge drop out waste as feedstock for spark plasma sintering (sps), demonstrated by the mtc’s rechycle project, achieves a significant reduction of 21800kgco2eper stack. - the route resulting in the least embodied carbon was through the remanufacturing of end of life parts as feedstock into net shaping by sps with salt spacers produced by uniaxial pressing. ","None","MTC"
"Environmental Impact of Metal Additive Manufacturing","https://www.the-mtc.org/case-studies/environmental-impact-of-metal-additive-manufacturing/","Additive manufacturing presents a unique opportunity to create novel products that would be infeasible, if not impossible, to make using conventional approaches.  Am has been heralded as a significant tool in the transition to sustainable manufacturing by enabling new products and business models.  From an environmental perspective, am is already reducing the lifetime impact of components for specific applications. Despite these benefits, during the manufacturing phase, current metal additive processes such as laser powder bed fusion (lpbf) are energy intensive and generally have higher associated carbon footprints per kg of final part than conventional manufacturing. ","None","The largest contributors to carbon emissions for the lpbf process chain were identified as:. The largest contributors to carbon emissions for the lpbf process chain were identified as:. Embodied carbon associated with consumables;. Embodied carbon associated with consumables;. Embodied carbon associated with consumables;. Embodied carbon associated with consumables;. Electricity from process chain equipment and ancillaries;. Electricity from process chain equipment and ancillaries;. Electricity from process chain equipment and ancillaries;. Electricity from process chain equipment and ancillaries;. Embodied carbon from primary production of metal powder. Embodied carbon from primary production of metal powder. Embodied carbon from primary production of metal powder. Embodied carbon from primary production of metal powder. Concepts for improving the environmental performance of the am process and am facilities have been collated and assessed to guide future research efforts. Concepts for improving the environmental performance of the am process and am facilities have been collated and assessed to guide future research efforts. ","A better understanding of the environmental impact of the lpbf process chain. A better understanding of the environmental impact of the lpbf process chain. Capability to quantify the effect on carbon emissions before implementing changes to the am process. Capability to quantify the effect on carbon emissions before implementing changes to the am process. A clear roadmap for research and development to support more sustainable am production in the future. A clear roadmap for research and development to support more sustainable am production in the future. A transferable approach for conducting discovery projects with an environmental focus. A transferable approach for conducting discovery projects with an environmental focus. ","MTC"
"Fresh Check: Improving Product Design of New Hygiene Testing product to Increase Competitiveness and Reduce Costs","https://www.the-mtc.org/case-studies/fresh-check-improving-product-design-of-new-hygiene-testing-product-to-increase-competitiveness-and-reduce-costs/","Fresh check, founded in 2015, offers affordable solutions to verify hygiene in the food, hospitality, and healthcare industries.  Its patented technology changes colour to inform when a facility’s hygiene is not up to the standard required.  Its current product line includes the fresh check spray, which has been approved by campden bri and is the first tool for hygiene verification since the atp swab. Since the covid-19 pandemic hit, hygiene awareness has become increasingly at the forefront for many industries.  After identifying that its spray was sometimes hard to see on solid and dark-coloured surfaces, fresh check created a new swab test.  The swab method would allow the user to check the hygiene levels of a surface quickly and, importantly, conclusively. Fresh check received an innovate uk grant via the uk edge catapult scheme for the r&d required to develop the swab, and it was introduced to the mtc’s product manufacturing incubator via the innovate uk team to further develop the original prototype.  Together, the teams worked to re-design the product to make it more cost effective and therefore more competitive in the market.  . ","Fresh check approached the mtc with the brief to explore how the swab could be re-designed and then manufactured at a more competitive price point to take the product to market. At the start of the project, the pmi team conducted a series of ideation workshops which included an in-depth analysis of the other products on the market, as well as understanding fresh check’s target audience and the manufacturing costs of the current prototype design. The prototype was manufactured in four components, like similar products on the market; this was an expensive way to manufacture the product, and the team explored options to decrease the number of parts and therefore reduce costs. By following this route, mtc believed it could help fresh check to achieve a key point of difference in its product design, whilst also meeting the initial requirements of the project to make the product more cost effective. New to the plastics manufacturing industry, fresh check was sourcing its plastic from china but was coming up against supply chain issues, as well as challenges with the quality of the product.  The mtc was able to utilise its network and vendor agnostic approach to start the procurement process of reshoring its sourcing and manufacturing to the uk. ","The initial phase of the project of re-designing the product was completed, with two finalised designs focusing on a two-part design that makes fresh check stand out from its competitors.  The proposed designs are also more cost effective to manufacture, in turn helping to increase the product’s profitability. The mtc has also started to work with fresh check on how, through future projects, the product could be further refined.  This includes identifying a preferred manufacturer and plastics source in the uk to ensure a higher quality of product, as well as improving the designs further for more efficient manufacturing, and supporting fresh check with the capability to assemble the product itself. A key aspect of the ongoing work will also be to look at the sustainability of the product including the packaging and materials used, as this is a key cornerstone of the company’s vision. This was a great project to work on; we were able to explore more about the hygiene market, in particular hygiene within the food industry and the level of testing required.  Through collaboration and the passion and engagement from the fresh check team, we have a product with a real point of difference, that makes the brand stand out from the crowd.  Through future projects we hope to develop it even further from an ease-of-manufacture perspective, as well as from a sustainability point of view too. Dale armson, research engineering, mtc  .  . ","None","MTC"
"DigiProp","https://www.the-mtc.org/case-studies/digiprop/","Develop and validate new factory concepts for more efficient production of composite blades and propellers utilising digital manufacturing technologies. Develop and validate new factory concepts for more efficient production of composite blades and propellers utilising digital manufacturing technologies. Realise improvements in operational metrics such as overall equipment effectiveness and production lead time. Realise improvements in operational metrics such as overall equipment effectiveness and production lead time. Assess hardware, software and systems architectures that can support the production of the next generation of dowty propellers products. Assess hardware, software and systems architectures that can support the production of the next generation of dowty propellers products","None","Creation of the ‘digiprop demonstration cell’; a testbed environment to prove out technologies for data capture, processing, transfer, aggregation, storage, analysis and visualisation. Creation of the ‘digiprop demonstration cell’; a testbed environment to prove out technologies for data capture, processing, transfer, aggregation, storage, analysis and visualisation. Development of discrete event simulation digital twin of dowty propeller value stream to generate intelligent production schedules. Development of discrete event simulation digital twin of dowty propeller value stream to generate intelligent production schedules. Demonstration and adoption planning of technologies including: assisted manual assembly operations, real-time location tracking for parts and assets, machine vision quality assessment, model-based definition workflows, innovative non destructive testing approaches. Demonstration and adoption planning of technologies including: assisted manual assembly operations, real-time location tracking for parts and assets, machine vision quality assessment, model-based definition workflows, innovative non destructive testing approaches. Development of a toolset to manage the journey from objective setting, through technology selectionand development to implementation. Development of a toolset to manage the journey from objective setting, through technology selectionand development to implementation","Reduced risk of implementation for new technologies via proven tools, suppliers, workflows and integration approaches. Reduced risk of implementation for new technologies via proven tools, suppliers, workflows and integration approaches. Skills and roles identified for future production methods. Skills and roles identified for future production methods. New capabilities developed, e. G.  Smart scheduling, composite blade inspection. New capabilities developed, e. G.  Smart scheduling, composite blade inspection. Testing of competing options for hardware/ software/ architectures in a production relevant environment. Testing of competing options for hardware/ software/ architectures in a production relevant environment. Gathering user feedback to improve system designs. Gathering user feedback to improve system designs. Finding and mitigating integration and cyber security issues in a safe environment, without affecting production. Finding and mitigating integration and cyber security issues in a safe environment, without affecting production. Roi estimates before purchasing full scale hw/sw. Roi estimates before purchasing full scale hw/sw","MTC"
"Structural Health Monitoring","https://www.the-mtc.org/case-studies/structural-health-monitoring/","Within the power & energy sector there a many high value and safety-critical pipelines which require periodic inspection to ensure they remain safe for operation.  Many of these inspections are slow, with significant expense required to gain physical access to the assets which, in some cases, expose engineers to hazardous environments, such as radiation within nuclear power plants or working at height for pipeline bridge crossings.  By moving to a structural health monitoring (shm) approach, permanently attached sensors can carry out the inspection, removing inspectors from hazardous environments and reducing the cost to access the asset.  In addition, inspection performance can be improved using shm signal processing techniques. ","None","The optimal baseline subtraction method, continuous optimal baseline subtraction method and independent component analysis technique were successfully applied to the guided wave inspection datasets collected. Using these methods, the sensitivity to corrosion defects was increased by up to 500% allowing for defects below 5% cross sectional wall loss to be detected and their growth tracked. A mixed reality tool to visualise the inspection data was created that could allow remote analysis of data, display a range of inspection and asset metrics as well as guide remedial work. Multiple machine and deep learning models were explored as alternative approaches to analyse shm data to further improve performance","Shm has the potential to significantly reduce inspection costs, improve health and safety and increase inspection sensitivity. This guided wave shm approach can be deployed to inspect difficult to access, safety-critical and hazardously located pipeline assets within the nuclear power and energy utilities sectors. The improved inspection results can be used to more accurately track structural integrity, implement intelligent maintenance scheduling and failure forecast modelling. ","MTC"
"AACE - AI-Enabled Automated Cost and Carbon Estimating","https://www.the-mtc.org/case-studies/aace-ai-enabled-automated-cost-and-carbon-estimating/","Estimating the cost of construction projects is currently slow and bespoke.  The digitalisation of the construction sector through computer aided design (cad) means that projects are subject to faster design and redesign; while this obviously has a positive impact on the industry, the time-consuming nature of cost surveying makes it slow to react to changing cad models. Ultimately, a cost estimate can only ever be as good as the information provided to the surveyor.  They must utilise the information available – combined with their expertise and knowledge – in producing the cost estimate, this in turn can lead to inconsistencies between surveyors. ","None","By understanding the analysis, the aace consortium was able to create:. A proof of concept for automated cost modelling take-offs for bridge models within costos. A proof of concept for automated cost modelling take-offs for bridge models within costos. Best practice guidance on bim best practices. Best practice guidance on bim best practices. Uniclass2015 mapping to cesmm4 ontology to act as guidance for further carbon and cost estimating projects. Uniclass2015 mapping to cesmm4 ontology to act as guidance for further carbon and cost estimating projects. Neural network development from nomitech to identify and classify bridge components within a 3d model. Neural network development from nomitech to identify and classify bridge components within a 3d model. ","None","MTC"
"Ci-iT - Change Impact Intelligence Tool","https://www.the-mtc.org/case-studies/ci-it-change-impact-intelligence-tool/","Effective change management within construction projects is made challenging by the adversarial nature of contractual relationships.  Change within a construction project typically refers to alterations to the scope, function, design or delivery of the facility/asset. Such changes are continuous during a project’s lifecycle and the information necessary to manage them is often incomplete.  This is because the information is fragmented across multiple data environments and times. A significant search effort is therefore required to make informed decisions on a change.  The burden on project resources and individuals involved in this search often leads to inadequate decisions being made.  This has shown to be a major source of risk that has contributed to lost revenue to the contractor. ","The proposed solution is a knowledge management system that assists project change decision makers.  This system will help by:. Centralising project data by providing access to data stored within the projects various data environments. Centralising project data by providing access to data stored within the projects various data environments. Automating knowledge generation with ai and natural language processing. Automating knowledge generation with ai and natural language processing. Using this knowledge to find and link change related information and documents throughout a project’s lifecycle. Using this knowledge to find and link change related information and documents throughout a project’s lifecycle. Visualising project change in a way that makes locating relevant information and assessing the impact easier on decision makers. Visualising project change in a way that makes locating relevant information and assessing the impact easier on decision makers. ","Intelligent models able to automatically process data as it appears in the system and generate insights via natural language processing. Intelligent models able to automatically process data as it appears in the system and generate insights via natural language processing. Insights to link related documents via their semantic similarity, dates, stakeholders etc. Insights to link related documents via their semantic similarity, dates, stakeholders etc. Insights to identify and highlight potential new changes and issues which need to be tracked. Insights to identify and highlight potential new changes and issues which need to be tracked. A web-based user interface that allows users to locate and visualize project change related information. A web-based user interface that allows users to locate and visualize project change related information. ","None","MTC"
"RecHycle: Re-imagining Electrolyser Construction for HYdrogen within a CircuLar Economy","https://www.the-mtc.org/case-studies/rechycle-re-imagining-electrolyser-construction-for-hydrogen-within-a-circular-economy/","In 2021, the uk government published its hydrogen strategy with the target of developing 5gw of low carbon hydrogen production capacity in the uk by 2030.  This ambition has since been revised to 10gw.  So called “green” hydrogen is produced from water electrolysis powered by renewable energy.  This will provide an important energy vector that can directly replace fossil fuels and enable net-zero decarbonisation across challenging sectors of the economy such as heavy road transport, shipping, industrial and domestic heating, and industrial production such as chemicals, cement and steel. In recent years the mtc, in partnership with the other high value manufacturing catapult centres, has built a detailed understanding of the technological advancements required to support the future global hydrogen value chain.  A huge amount of research effort is focused on reducing the levelised cost of hydrogen (lcoh) by increasing electrolyser efficiency and ramping up production rates in the coming years, but just as important is embedding a sustainable circular economy within the manufacturing supply chain to ensure the equipment itself has the lowest possible embodied carbon emissions. In the rechycle project, the mtc created a new net shape manufacturing method that has the potential to enable relatively low cost, and more sustainable scale-up in manufacture of polymer electrolyte membrane (pem) electrolysers, which are some of the most promising systems for the production of green hydrogen at present. Consolidated titanium plate with integrated porous structure and dissolvable salt insert","The mtc, as a centre of excellence for net shape manufacturing and powder metallurgy, is very well placed to develop innovative processing methods that can dramatically reduce material waste and the embodied carbon emissions associated with traditional supply chains.  Net shape powder metallurgy processes are capable of forming components close to their final geometry by applying moderate pressures and heat, densifying powders into a solid part by bonding the particles together without melting them.  Minimal material is wasted and very few finishing activities are needed to meet the final dimensional specification.  In addition, components have excellent mechanical properties suitable for industries requiring high integrity products that operate in demanding operating environments. Historically however, low-volume production and relatively high-cost tooling have limited the wider usage of powder metallurgy within high throughput and cost sensitive supply chains.  In an attempt to address this the mtc has created an innovative solution that uses low-cost inserts made from dissolvable salt.  These facilitate geometric complexity similar to investment castings, but enable the use of low cost tooling and the simple removal of finished components using regular water after the densification process is complete. The mtc’s first application of this invention has been the production of multiple intricate titanium electrolyser plates with integrated porous surfaces through one, single, low energy processing step.  This is not only a far more streamlined process compared to the cast and wrought titanium supply chains currently utilised, but also combines three conventionally separate components into one. The huge opportunity presented by this increased design freedom at relatively low cost became very clear after discussion with experts in the field, who typically just look to purchase off-the-shelf sheet metal as their material starting stock.  The mtc’s unique approach may, for example, have the potential to increase the operational efficiency of electrolysers and fuel cells, as reducing the number of components/ layers/ interfaces within the cell stack reduces overall electrical resistance.  Additionally, tailored porous structures can easily be created that optimise fluid flow and proton exchange membrane performance. ","The mtc initially identified hot isostatic pressing (hip) as a potential method to consolidate recycled or minimally processed titanium powders into electrolyser plates.  After initial trials an alternative net shape process with fewer production steps called spark plasma sintering (sps), or alternatively field assisted sintering technology (fast) was assessed.  Like hip, this is a solid state powder consolidation process achieving very high quality fine grain microstructures with uniform properties and extremely few defects. After some feasibility trials, sps was found to be just as capable as hip for producing plate-like components with porous surface structures using the mtc’s dissolvable inserts technique.  Sps has the added advantage of using reusable dies and having short consolidation cycles.  When combined with automated die filling, the proposed solution may be capable of achieving relatively high throughput production at low-cost and with minimal material wastage or energy consumption. The mtc worked in partnership with a team from the university of sheffield to create a series of demonstrator parts.  The birmingham energy institute at the university of birmingham supported the prototyping of bipolar plates intended to operate under the harsh acidic and high voltage environments found within an industrial pem electrolyser. To verify the proposed solution’s sustainability benefits, the mtc utilised its expertise in life cycle assessment (lca) to analyse the embodied carbon emissions of various supply chains and production processes.  An approximation of the current commercial pem electrolyser manufacturing route was used as a baseline, including conventional titanium sheet manufacturing and traditional electrolyser stack assembly routes.  The findings confirmed that there is a great deal of environmental benefit to be gained from the unconventional powder production routes the mtc have developed through the rechycle project. Dissolvable inserts with intricate features demonstrated as metal powder consolidation space holders","None","MTC"
"Enhancing the Performance of LI-ION Batteries in Harsh Environments","https://www.the-mtc.org/case-studies/enhancing-the-performance-of-li-ion-batteries-in-harsh-environments/","In recent years, there has been a growing demand for lithium-ion (li-ion) batteries that have a longer lifetime and provide more consistent performance in harsh environment applications such as those found in the automotive, defence and oil exploration systems sectors. Currently, in extreme atmospheric conditions, the expansion and contraction that the cell experiences cause a binder depletion between its current collector and its coated layer which results in delamination between the copper foil and its coated graphite, therefore causing significant reliability issues. The challenge for the mtc was to exploit recent advancements in the laser processing of battery materials including the use of short, pulsed lasers to optimise li-ion battery performance.  The aim was to introduce different properties and restructure the surfaces inside li-ion batteries to improve surface adhesion between the coated layer and the anode to ultimately reduce the possibility of failure. ","To address the challenge set out, engineers at the mtc utilised laser surface micro-texturing, a new, innovative process using ultra short, fast lasers that could achieve the desired performance benefits in the proof-of-concept demonstrator. Firstly, the team completed a period of analysis on an off-the-shelf li-ion battery to understand where the loss of performance was occurring and how this could be addressed. Using laser surface micro-texturing, the team were able to create well defined and controlled structures on the surface of the anode to increase adhesion and improve bond strength which in doing so would better the quality of manufacturing in this high-energy anode material. Through a series of further in-house tests to prove the validity of the solution, additional optimisations on the restructured surfaces were completed to enhance and prove the performance of the demonstrator battery in testing environments. ","The mtc used laser surface micro-texturing and an optimised laser setting to produce a new, micro-textured demonstrator battery that performs better under extreme conditions.  The optimised battery showed a 32% improvement in the surface adhesion leading to a more robust and safer cell compared to the off-theshelf li-ion battery. As a result of this project, the mtc has identified a high value manufacturing process that is a viable and scalable, alternative method to the current ‘roll-to-roll’ manufacturing process of the cells. ","Through utilising an advanced laser-based surface engineering process, alongside the expertise of experienced researchers and engineers, the mtc has successfully demonstrated the positive impact that lasers can have on the performance of battery cells in extreme environments. The integration of laser surface micro-texturing on the production line could also save time and make a vital performance change leading to the removal of calendaring from the current process and the use of more powerful lasers as surface texturing technology matures, improving the overall quality of li-ion battery manufacturing. Further to this, the mtc identified that this innovative process could be used to lengthen the life span of the battery and enhance how the cell manages heat by focusing on the texturing of the battery housing to allow the cell to charge under higher currents. The project has also shown that laser surface microtexturing could provide wider benefits to other high value manufacturing industries.  This process to improve the bond strength of adhesives could boost heat conduction in sectors where high-performance, thermal management units are used such as the aerospace, automotive and defence arenas.  It could also support anti-fouling systems on propellors in the marine sector by creating surfaces with well-defined structures that are better for the environment and reduce pollution. Overall, the creation of this new li-ion battery demonstrator has shown that laser-based engineering processes could be vital to the development of li-ion battery cells, and it has provided the mtc with an opportunity to work with its membership to explore how lasers could further influence uk manufacturing. ","MTC"
