"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Disentangling the effects of fishing and temperature to explain increasing fish species richness in the North Sea","https://aura.abdn.ac.uk//handle/2164/21310","Jones, D. Ieuan; Miethe, Tanja; Clarke, Elizabeth D.; Marshall, C. Tara","January 2023","None","Marine","University of Aberdeen"
"Increased parental effort fails to buffer the cascading effects of warmer seas on common guillemot demographic rates","https://aura.abdn.ac.uk//handle/2164/20868","Wanless, Sarah; Albon, Steve D; Daunt, Francis; Sarzo, Blanca; Newell, Mark A; Gunn, Carrie; Speakman, John R; Harris, Michael P","August 2023","None","Marine","University of Aberdeen"
"Cumulative effects of offshore renewables : From pragmatic policies to holistic marine spatial planning tools","https://aura.abdn.ac.uk//handle/2164/20823","Declerck, M.; Trifonova, N.; Hartley, J.; Scott, B.E.","January 2023","None","Marine","University of Aberdeen"
"Cyclopropane-Containing Specialized Metabolites from the Marine Cyanobacterium cf. Lyngbya sp.","https://aura.abdn.ac.uk//handle/2164/21025","Salleh, Nurul Farhana; Wang, Jiale; Kundukad, Binu; Oluwabusola, Emmanuel T.; Goh, Delia Xin Yin; Phyo, Ma Yadanar; Tong, Jasmine Jie Lin; Kjelleberg, Staffan; Tan, Lik Tong","May 2023","None","Marine","University of Aberdeen"
"An evaluation of information sharing schemes to identify what motivates fishers to share catch information","https://aura.abdn.ac.uk//handle/2164/20946","Calderwood, Julia; Marshall, C. Tara; Haflinger, Karl; Alfaro-Shigueto, Joanna; Mangel, Jeffrey C.; Reid, David G.","January 2023","None","Marine","University of Aberdeen"
"Fisheries Redistribution under Climate Change : Rethinking the Law to Address the ‘Governance Gap’?","https://aura.abdn.ac.uk//handle/2164/22361","Lennan, Mitchell","February 2023","None","Marine","University of Aberdeen"
"Virtual Screening of a Library of Naturally Occurring Anthraquinones for Potential Anti-Fouling Agents","https://aura.abdn.ac.uk//handle/2164/20187","Preet, Gagan; Astakala, Rishi Vachaspathy; Gomez-Banderas, Jessica; Rajakulendran, Joy Ebenezer; Hasan, Ahlam Haj; Ebel, Rainer; Jaspars, Marcel","January 2023","None","Marine","University of Aberdeen"
"A new strategic framework to structure Cumulative Impact Assessment (CIA)","https://aura.abdn.ac.uk//handle/2164/20351","Declerck, M.; Trifonova, N.; Black, J.; Hartley, J.; Scott, B. E.","December 2022","None","Marine","University of Aberdeen"
"A review of the potential risks associated with mercury in subsea oil and gas pipelines in Australia","https://aura.abdn.ac.uk//handle/2164/20354","Gissi, Francesca; Koppel, Darren J.; Boyd, Alexandra; Kho, Fenny; von Hellfeld, Rebecca; Higgins, Stuart; Apte, Simon; Cresswell, Tom","January 2022","None","Marine","University of Aberdeen"
"Virtual Prototyping of a floating wind farm anchor during underwater towing operations","https://aura.abdn.ac.uk//handle/2164/21864","Martinez Mejia, Rodrigo Andres; Arnau Almirall, Sergi; Scullion, Callum; Collins, Paddy; Neilson, Richard; Kapitaniak, Marcin","July 2022","None","Marine","University of Aberdeen"
"Spawning aggregation of bigeye trevally, Caranx sexfasciatus, highlights the ecological importance of oil and gas platforms","https://aura.abdn.ac.uk//handle/2164/19529","Madgett, Alethea S.; Harvey, Euan S.; Driessen, Damon; Schramm, Karl D.; Fullwood, Laura A.F.; Songploy, Se; Kettratad, Jes; Sitaworawet, Paweena; Chaiyakul, Sarin; Elsdon, Travis S.; Marnane, Michael J.","May 2022","None","Marine","University of Aberdeen"
"A switch in species dominance of a recovering pelagic ecosystem","https://aura.abdn.ac.uk//handle/2164/18934","Lawrence, Joshua M.; Fernandes, Paul G.","October 2022","None","Marine","University of Aberdeen"
"Reef effect of offshore structures on the occurrence and foraging activity of harbour porpoises","https://aura.abdn.ac.uk//handle/2164/19190","Fernandez Betelu, Oihane; Graham, Isla; Thompson, Paul","September 2022","None","Marine","University of Aberdeen"
"Evolution of hydrate habit and formation properties evolution during hydrate phase transition in fractured-porous medium","https://aura.abdn.ac.uk//handle/2164/18742","Bian, Hang; Qin, Xuwen; Luo, Wanjing; Ma, Chao; Zhu, Jian; Cheng, Lu; Zhou, Yingfang","September 2022","None","Marine","University of Aberdeen"
"Climate change and cetacean health : impacts and future directions","https://aura.abdn.ac.uk//handle/2164/17470","Kebke, Anna; Samarra, Filipa; Derous, Davina","April 2022","None","Marine","University of Aberdeen"
"Application of Omics Tools in Designing and Monitoring Marine Protected Areas for a Sustainable Blue Economy","https://aura.abdn.ac.uk//handle/2164/18737","Jeffery, Nicholas W.; Lehnert, Sarah; Kess, Tony; Layton, Kara; Wringe, Brendan F.; Stanley, Ryan R.","June 2022","None","Marine","University of Aberdeen"
"Sympatric seals, satellite tracking and protected areas : habitat-based distribution estimates for conservation and management","https://aura.abdn.ac.uk//handle/2164/18725","Carter, Matt I.; Boehme, Lars; Cronin, Michelle A.; Duck, Callan; James Grecian, W.; Hastie, Gordon D.; Jessopp, Mark J.; Matthiopoulos, Jason; McConnell, Bernie J.; Morris, Chris D.; Moss, Simon E. W.; Thompson, Dave; Thompson, Paul; Russell, Debbie J. F.","June 2022","None","Marine","University of Aberdeen"
"Towards incorporation of blue carbon in Falkland Islands marine spatial planning : a multi-tiered approach","https://aura.abdn.ac.uk//handle/2164/18700","Bax, Narissa; Pineda Metz, Santiago E.; Pearman, Tabitha; Diesing, Markus; Carter, Stefanie; Downey, Rachel V.; Evans, Chris D.; Barnes, David K.; Brickle, Paul; Baylis, Alastair M.; Adler, Alyssa; Guest, Amy; Layton, Kara; Brewin, Paul E.; Bayley, Daniel","October 2022","None","Marine","University of Aberdeen"
"The Effect of Grain Size on Porewater Radiolysis","https://aura.abdn.ac.uk//handle/2164/20570","DeWitt, J.; McMahon, S.; Parnell, J.","September 2022","None","Marine","University of Aberdeen"
"Tidal streams, fish and seabirds : understanding the linkages between mobile predators, prey, and hydrodynamics","https://aura.abdn.ac.uk//handle/2164/18590","Couto, Ana; Williamson, Benjamin J.; Cornulier, Thomas; Fernandes, Paul; Fraser, Shaun James; Chapman, James D.; Davies, Ian M.; Scott, Beth","May 2022","None","Marine","University of Aberdeen"
"How can a new UN ocean treaty change the course of capacity building?","https://aura.abdn.ac.uk//handle/2164/21412","Harden-Davies, Harriet; Amon, Diva J.; Chung, Tyler Rae; Gobin, Judith; Hanich, Quentin; Hassanali, Kahlil; Jaspars, Marcel; Pouponneau, Angelique; Soapi, Katy; Talma, Sheena; Vierros, Marjo","May 2022","None","Marine","University of Aberdeen"
"Inhibition of the Quorum Sensing System, Elastase Production and Biofilm Formation in Pseudomonas aeruginosa by Psammaplin A and Bisaprasin","https://aura.abdn.ac.uk//handle/2164/18229","Oluwabusola, Emmanuel T; Katermeran, Nursheena Parveen; Poh, Wee Han; Goh, Teo Min Ben; Tan, Lik Tong; Diyaolu, Oluwatofunmilayo; Tabudravu, Jioji; Ebel, Rainer; Rice, Scott A; Jaspars, Marcel","June 2022","None","Marine","University of Aberdeen"
"Genetic Connectivity and Diversity of a Protected, Habitat-Forming Species : Evidence Demonstrating the Need for Wider Environmental Protection and Integration of the Marine Protected Area Network","https://aura.abdn.ac.uk//handle/2164/20889","Mackenzie, Clara L.; Kent, Flora E.A.; Baxter, John M.; Gormley, Kate S.G.; Cassidy, Andrew J.; Sanderson, William G.; Porter, Joanne S.","March 2022","None","Marine","University of Aberdeen"
"Marine Natural Products : A Promising Source of Environmentally Friendly Antifouling Agents for the Maritime Industries","https://aura.abdn.ac.uk//handle/2164/18166","Gomez-Banderas, Jessica","February 2022","None","Marine","University of Aberdeen"
"Halogens in seaweeds : Biological and Environmental Significance","https://aura.abdn.ac.uk//handle/2164/18201","Al-Adilah, Hanan; Feiters, Martin C.; Carpenter, Lucy J.; Kumari, Puja; Carrano, Carl J.; Al-Bader, Dhia; Kuepper, Frithjof","February 2022","None","Marine","University of Aberdeen"
"Chronic environmental perturbation influences microbial community assembly patterns","https://aura.abdn.ac.uk//handle/2164/19953","Potts, Lloyd Douglas; Douglas, Alex; Perez Calderon, Luis Jose; Witte, Ursula; Prosser, James; Gubry-Rangin, Cecile","February 2022","None","Marine","University of Aberdeen"
"Use of our Future Seas : Relevance of Spatial and Temporal Scale for Physical and Biological Indicators","https://aura.abdn.ac.uk//handle/2164/17972","Trifonova, Neda; Scott, Beth; Dominicis, Michela De; Wolf, Judith","January 2022","None","Marine","University of Aberdeen"
"Labels on seafood products in different European countries and their compliance to EU legislation","https://aura.abdn.ac.uk//handle/2164/17377","Paolacci, Simona; Mendes, Rogério; Klapper, Regina; Velasco, Amaya; Ramilo-Fernandez, Graciela; Muñoz-Colmenero, Marta; Potts, Tavis; Martins, Sandra; Avignon, Solene; Maguire, Julie; De Paz, Enrique; Johnson, Martin; Denis, Francoise; Pardo, Miguel A.; McElligott, Dee; Sotelo, Carmen Gonzalez","January 2021","None","Marine","University of Aberdeen"
"The summer distribution, habitat associations and abundance of seabirds in the sub-polar frontal zone of the Northwest Atlantic","https://aura.abdn.ac.uk//handle/2164/17149","Wakefield, Ewan D.; Miller, David L.; Bond, Sarah L.; le Bouard, Fabrice; Carvalho, Paloma C.; Catry, Paulo; Dilley, Ben J.; Fifield, David A.; Gjerdrum, Carina; Gonzalez-Solis, Jacob; Hogan, Holly; Laptikhovsky, Vladimir V.; Merkel, Benjamin; Miller, Julie A. O.; Miller, Peter I.; Pinder, Simon J.; Pipa, Tânia; Peterson, Ryan M; Thompson, Laura A.; Thompson, Paul; Matthiopoulos, Jason","November 2021","None","Marine","University of Aberdeen"
"Late Ediacaran life on land : desiccated microbial mats and large biofilm streamers","https://aura.abdn.ac.uk//handle/2164/17358","McMahon, S.; Matthews,  J.J; Brasier, A.; Still, J.","October 2021","None","Marine","University of Aberdeen"
"Foraging distribution of breeding northern fulmars is predicted by commercial fisheries","https://aura.abdn.ac.uk//handle/2164/17860","JH, Darby; S, Dde Grissac; GE, Arneill; E, Pirotta; JJ, Waggitt; L, Börger; E, Shepard; D, Cabot; E, Owen; M, Bolton; EWJ, Edwards; PM, Thompson; JL, Quinn; M, Jessopp","January 2021","None","Marine","University of Aberdeen"
"Explosives Use in Decommissioning—Guide for Assessment of Risk (EDGAR) : II Determination of Sound Exposure Levels for Open Water Blasts and Severance of Conductors and Piles from below the Seabed","https://aura.abdn.ac.uk//handle/2164/17378","Brand, Alison","October 2021","None","Marine","University of Aberdeen"
"Digital In-Line Holography for Large-Volume Analysis of Vertical Motion of Microscale Marine Plankton and Other Particles","https://aura.abdn.ac.uk//handle/2164/17457","Liu, Zonghua; Takahashi, Tomoko; Lindsay, Dhugal; Thevar, Thangavel; Sangekar, Mehul; Watanabe, Hiromi Kayama; Burns, Nicholas; Watson, John; Thornton, Blair","January 2021","None","Marine","University of Aberdeen"
"Bifurcation analysis of vortex-induced vibration of low-dimensional models of marine risers","https://aura.abdn.ac.uk//handle/2164/17335","Wang, Dan; Hao, Zhifeng; Pavlovskaia, Ekaterina; Wiercigroch, Marian","December 2021","None","Marine","University of Aberdeen"
"A flexible deep learning crater detection scheme using Segment Anything Model (SAM)","https://aura.abdn.ac.uk//handle/2164/21998","Giannakis, Iraklis; Bhardwaj, Anshuman; Sam, Lydia; Leontidis, Georgios","January 2024","None","AI","University of Aberdeen"
"Applying Green AI methods to Digital Rock Technology workflows","https://aura.abdn.ac.uk//handle/2164/22398","Panaitescu, Ciprian-Teodor; Wu, Kejian; Tanino, Yukie; Starkey, Andrew","December 2023","None","AI","University of Aberdeen"
"Real-time Event Detection Using Self-Evolving Contextual Analysis (SECA) Approach","https://aura.abdn.ac.uk//handle/2164/22356","Sulaimani, Sami Al; Starkey, Andrew","August 2023","None","AI","University of Aberdeen"
"Online Goal Recognition in Discrete and Continuous Domains Using a Vectorial Representation","https://aura.abdn.ac.uk//handle/2164/21525","Tesch, Douglas; Amado, Leonardo Rosa; Meneguzzi, Felipe","July 2023","None","AI","University of Aberdeen"
"Temporally Extended Goal Recognition in Fully Observable Non-Deterministic Domain Models","https://aura.abdn.ac.uk//handle/2164/21526","Pereira, Ramon Fraga; Fuggitti, Francesco; Meneguzzi, Felipe; Giacomo, Giuseppe De","June 2023"," Abstract:Goal Recognition is the task of discerning the correct intended goal that an agent aims to achieve, given a set of goal hypotheses, a domain model, and a sequence of observations (i.e., a sample of the plan executed in the environment). Existing approaches assume that goal hypotheses comprise a single conjunctive formula over a single final state and that the environment dynamics are deterministic, preventing the recognition of temporally extended goals in more complex settings. In this paper, we expand goal recognition to temporally extended goals in Fully Observable Non-Deterministic (FOND) planning domain models, focusing on goals on finite traces expressed in Linear Temporal Logic (LTLf) and Pure Past Linear Temporal Logic (PLTLf). We develop the first approach capable of recognizing goals in such settings and evaluate it using different LTLf and PLTLf goals over six FOND planning domain models. Empirical results show that our approach is accurate in recognizing temporally extended goals in different recognition settings.     ","AI","University of Aberdeen"
"Influence of context on users’ views about explanations for decision-tree predictions","https://aura.abdn.ac.uk//handle/2164/22500","Maruf, Sameen; Zukerman, Ingrid; Reiter, Ehud; Haffari, Gholamreza","June 2023","None","AI","University of Aberdeen"
"Updating Action Descriptions and Plans for Cognitive Agents","https://aura.abdn.ac.uk//handle/2164/21263","Stringer, Peter; Cardoso, Rafael C.; Dixon, Clare; Fisher, Michael; Dennis, Louise A.","May 2023","None","AI","University of Aberdeen"
"ML-MAS : a Hybrid AI Framework for Self-Driving Vehicles","https://aura.abdn.ac.uk//handle/2164/21262","Al Shukairi, Hilal; Cardoso, Rafael C.","May 2023","None","AI","University of Aberdeen"
"Beyond the Hype : ‘Acceptable Futures’ for AI and Robotic Technologies in Healthcare","https://aura.abdn.ac.uk//handle/2164/20686","De Togni, Giulia; Erikainen, Sonja; Chan, Sarah; Cunningham-Burley, Sarah","April 2023","None","AI","University of Aberdeen"
"Self-Supervised Adversarial Imitation Learning","https://aura.abdn.ac.uk//handle/2164/21527","Monteiro, Juarez; Gavenski, Nathan; Meneguzzi, Felipe; Barros, Rodrigo C.","April 2023"," Abstract:Behavioural cloning is an imitation learning technique that teaches an agent how to behave via expert demonstrations. Recent approaches use self-supervision of fully-observable unlabelled snapshots of the states to decode state pairs into actions. However, the iterative learning scheme employed by these techniques is prone to get trapped into bad local minima. Previous work uses goal-aware strategies to solve this issue. However, this requires manual intervention to verify whether an agent has reached its goal. We address this limitation by incorporating a discriminator into the original framework, offering two key advantages and directly solving a learning problem previous work had. First, it disposes of the manual intervention requirement. Second, it helps in learning by guiding function approximation based on the state transition of the expert's trajectories. Third, the discriminator solves a learning issue commonly present in the policy model, which is to sometimes perform a `no action' within the environment until the agent finally halts.     ","AI","University of Aberdeen"
"Automated Well Log Pattern Alignment and History-Matching Techniques : An Empirical Review and Recommendations","https://aura.abdn.ac.uk//handle/2164/19450","Ezenkwu, Chinedu Pascal; Guntoro, John; Vaziri, Vahid; Starkey, Andrew; Addario, Maurillio","January 2023","None","AI","University of Aberdeen"
"Advanced digital technologies and international business : A multidisciplinary analysis of the literature","https://aura.abdn.ac.uk//handle/2164/19136","Ahi, Ali; Sinkovics, Noemi; Shildibekov, Y; Sinkovics, Rudolf; Mehandjiev, N","January 2022","None","AI","University of Aberdeen"
"Using Knowledge Graphs to Unlock Practical Collection, Integration, and Audit of AI Accountability Information","https://aura.abdn.ac.uk//handle/2164/19023","Naja, Iman; Markovic, Milan; Edwards, Pete; Pang, Wei; Cottrill, Caitlin; Williams, Rebecca","July 2022","None","AI","University of Aberdeen"
"Exploration of the Nurse Shark (Ginglymostoma cirratum) Plasma Immunoproteome Using High-Resolution LC-MS/MS","https://aura.abdn.ac.uk//handle/2164/19477","Bakke, Fiona K.; Gundappa, Manu Kumar; Matz, Hanover; Stead, David A.; Macqueen, Daniel J.; Dooley, Helen","June 2022","None","AI","University of Aberdeen"
"Representing Pure Nash Equilibria in Argumentation","https://aura.abdn.ac.uk//handle/2164/21082","Yun, Bruno; Vesic, Srdjan; Oren, Nir","January 2022","None","AI","University of Aberdeen"
"Bimodal Camera Pose Prediction for Endoscopy","https://aura.abdn.ac.uk//handle/2164/21307","Rau, Anita; Bhattarai, Binod; Agapito, Lourdes; Stoyanov, Danail","November 2022"," Abstract:Deducing the 3D structure of endoscopic scenes from images is exceedingly challenging. In addition to deformation and view-dependent lighting, tubular structures like the colon present problems stemming from their self-occluding and repetitive anatomical structure. In this paper, we propose SimCol, a synthetic dataset for camera pose estimation in colonoscopy, and a novel method that explicitly learns a bimodal distribution to predict the endoscope pose. Our dataset replicates real colonoscope motion and highlights the drawbacks of existing methods. We publish 18k RGB images from simulated colonoscopy with corresponding depth and camera poses and make our data generation environment in Unity publicly available. We evaluate different camera pose prediction methods and demonstrate that, when trained on our data, they generalize to real colonoscopy sequences, and our bimodal approach outperforms prior unimodal work.     ","AI","University of Aberdeen"
"Utility Functions for Human/Robot Interaction","https://aura.abdn.ac.uk//handle/2164/21379","Yun, Bruno; Oren, Nir; Croitoru, Madalina","August 2022"," Abstract:In this paper, we place ourselves in the context of human robot interaction and address the problem of cognitive robot modelling. More precisely we are investigating properties of a utility-based model that will govern a robot's actions. The novelty of this approach lies in embedding the responsibility of the robot over the state of affairs into the utility model via a utility aggregation function. We describe desiderata for such a function and consider related properties.     ","AI","University of Aberdeen"
"Analytical Solutions for the Inverse Problem within Gradual Semantics","https://aura.abdn.ac.uk//handle/2164/19104","Oren, Nir; Yun, Bruno; Libman, Assaf; Baptista, Murilo","February 2022"," Abstract:Gradual semantics within abstract argumentation associate a numeric score with every argument in a system, which represents the level of acceptability of this argument, and from which a preference ordering over arguments can be derived. While some semantics operate over standard argumentation frameworks, many utilise a weighted framework, where a numeric initial weight is associated with each argument. Recent work has examined the inverse problem within gradual semantics. Rather than determining a preference ordering given an argumentation framework and a semantics, the inverse problem takes an argumentation framework, a gradual semantics, and a preference ordering as inputs, and identifies what weights are needed to over arguments in the framework to obtain the desired preference ordering. Existing work has attacked the inverse problem numerically, using a root finding algorithm (the bisection method) to identify appropriate initial weights. In this paper we demonstrate that for a class of gradual semantics, an analytical approach can be used to solve the inverse problem. Unlike the current state-of-the-art, such an analytic approach can rapidly find a solution, and is guaranteed to do so. In obtaining this result, we are able to prove several important properties which previous work had posed as conjectures.     ","AI","University of Aberdeen"
"The Inverse Problem for Argumentation Gradual Semantics","https://aura.abdn.ac.uk//handle/2164/21380","Oren, Nir; Yun, Bruno; Vesic, Srdjan; Baptista, Murilo","January 2022"," Abstract:Gradual semantics with abstract argumentation provide each argument with a score reflecting its acceptability, i.e. how ""much"" it is attacked by other arguments. Many different gradual semantics have been proposed in the literature, each following different principles and producing different argument rankings. A sub-class of such semantics, the so-called weighted semantics, takes, in addition to the graph structure, an initial set of weights over the arguments as input, with these weights affecting the resultant argument ranking. In this work, we consider the inverse problem over such weighted semantics. That is, given an argumentation framework and a desired argument ranking, we ask whether there exist initial weights such that a particular semantics produces the given ranking. The contribution of this paper are: (1) an algorithm to answer this problem, (2) a characterisation of the properties that a gradual semantics must satisfy for the algorithm to operate, and (3) an empirical evaluation of the proposed algorithm.     ","AI","University of Aberdeen"
"Application of a Brain-Inspired Deep Imitation Learning Algorithm in Autonomous Driving","https://aura.abdn.ac.uk//handle/2164/17668","Yi, Dewei; Sui, Jie","January 2021","None","AI","University of Aberdeen"
"On the Latent Holes of VAEs for Text Generation","https://aura.abdn.ac.uk//handle/2164/18658","Li, Ruizhe; Peng, Xutan; Lin, Chenghua","July 2021"," Abstract:In this paper, we provide the first focused study on the discontinuities (aka. holes) in the latent space of Variational Auto-Encoders (VAEs), a phenomenon which has been shown to have a detrimental effect on model capacity. When investigating latent holes, existing works are exclusively centred around the encoder network and they merely explore the existence of holes. We tackle these limitations by proposing a highly efficient Tree-based Decoder-Centric (TDC) algorithm for latent hole identification, with a focal point on the text domain. In contrast to past studies, our approach pays attention to the decoder network, as a decoder has a direct impact on the model's output quality. Furthermore, we provide, for the first time, in-depth empirical analysis of the latent hole phenomenon, investigating several important aspects such as how the holes impact VAE algorithms' performance on text generation, and how the holes are distributed in the latent space.     ","AI","University of Aberdeen"
"The Accountability Fabric : A Suite of Semantic Tools For Managing AI System Accountability and Audit","https://aura.abdn.ac.uk//handle/2164/17060","Markovic, Milan; Naja, Iman; Edwards, Pete; Pang, Wei","July 2021","None","AI","University of Aberdeen"
"A Semantic Framework to Support AI System Accountability and Audit","https://aura.abdn.ac.uk//handle/2164/16643","Naja, Iman; Markovic, Milan; Edwards, Pete; Cottrill, Caitlin","June 2021","None","AI","University of Aberdeen"
"Mobile health in remote patient monitoring for chronic diseases : Principles, trends, and challenges","https://aura.abdn.ac.uk//handle/2164/21829","El-Rashidy, Nora; El-Sappagh, Shaker; Riazul Islam, S. M.; El-Bakry, Hazem M.; Abdelrazek, Samir","April 2021","None","AI","University of Aberdeen"
"How might technology rise to the challenge of data sharing in agri-food?","https://aura.abdn.ac.uk//handle/2164/17883","Durrant, Aiden; Markovic, Milan; Matthews, David; May, David; Leontidis, Georgios; Enright, Jessica","January 2021","None","AI","University of Aberdeen"
"Machine learning prediction of critical transition and system collapse","https://aura.abdn.ac.uk//handle/2164/15747","Kong, Ling-Wei; Fan, Hua-Wei; Grebogi, Celso; Lai, Ying-Cheng","January 2021","None","AI","University of Aberdeen"
"Landmark-based approaches for goal recognition as planning","https://aura.abdn.ac.uk//handle/2164/15449","Pereira, Ramon Fraga; Oren, Nir; Meneguzzi, Felipe","February 2020","None","AI","University of Aberdeen"
"Genome sequencing and transcriptome analyses of the Siberian hamster hypothalamus identify mechanisms for seasonal energy balance","https://aura.abdn.ac.uk//handle/2164/12482","Bao, Riyue; Onishi, Kenneth G.; Tolla, Elisabetta; Ebling, Fran J. P.; Lewis, Jo E; Anderson, Richard L.; Barrett, Perry; Prendergast, Brian J.; Stevenson, Tyler J.","June 2019","None","AI","University of Aberdeen"
"Titan cell production in Cryptococcus neoformans reshapes the cell wall and capsule composition during infection","https://aura.abdn.ac.uk//handle/2164/10138","Mukaremera, Liliane; Lee, Keunsook; Wagener, Jeanette; Wiesner, D. L.; Gow, Neil A R; Nielsen, Kirsten","March 2018","None","AI","University of Aberdeen"
"Data Analysis and Neuro-Fuzzy Technique for EOR Screening : Application in Angolan Oilfields","https://aura.abdn.ac.uk//handle/2164/8856","Ramos, Geraldo A R; Akanji, Lateef","June 2017","None","AI","University of Aberdeen"
"Monitoring ship noise to assess the impact of coastal developments on marine mammals","https://aura.abdn.ac.uk//handle/2164/8720","Merchant, Nathan D.; Pirotta, Enrico; Barton, Tim R.; Thompson, Paul M.","January 2014","None","AI","University of Aberdeen"
"Some Empirical Criteria for Attributing Creativity to a Computer Program","https://aura.abdn.ac.uk//handle/2164/3068","Ritchie, Graeme D","March 2007","None","AI","University of Aberdeen"
